,state,sat_participation_18,sat_score_18,act_participation_18,act_composite_18
0,Alabama,6.0,1166.0,100.0,19.1
1,Alaska,43.0,1106.0,33.0,20.8
2,Arizona,29.0,1149.0,66.0,19.2
3,Arkansas,5.0,1169.0,100.0,19.4
4,California,60.0,1076.0,27.0,22.7
5,Colorado,100.0,1025.0,30.0,23.9
6,Connecticut,100.0,1053.0,26.0,25.6
7,Delaware,100.0,998.0,17.0,23.8
8,District of Columbia,92.0,977.0,32.0,23.6
9,Florida,56.0,1099.0,66.0,19.9
10,Georgia,70.0,1064.0,53.0,21.4
11,Hawaii,56.0,1010.0,89.0,18.9
12,Idaho,100.0,1001.0,36.0,22.3
13,Illinois,99.0,1019.0,43.0,23.9
14,Indiana,63.0,1074.0,32.0,22.5
15,Iowa,3.0,1265.0,68.0,21.8
16,Kansas,4.0,1265.0,71.0,21.6
17,Kentucky,4.0,1248.0,100.0,20.2
18,Louisiana,4.0,1210.0,100.0,19.2
19,Maine,99.0,1013.0,7.0,24.0
20,Maryland,76.0,1080.0,31.0,22.5
21,Massachusetts,80.0,1125.0,25.0,25.5
22,Michigan,100.0,1011.0,22.0,24.2
23,Minnesota,4.0,1298.0,99.0,21.3
24,Mississippi,3.0,1236.0,100.0,18.6
25,Missouri,4.0,1262.0,100.0,20.0
26,Montana,10.0,1198.0,100.0,20.0
27,Nebraska,3.0,1252.0,100.0,20.1
28,Nevada,23.0,1140.0,100.0,17.7
29,New Hampshire,96.0,1063.0,16.0,25.1
30,New Jersey,82.0,1094.0,31.0,23.7
31,New Mexico,16.0,1093.0,67.0,19.4
32,New York,79.0,1068.0,27.0,24.5
33,North Carolina,52.0,1098.0,100.0,19.1
34,North Dakota,2.0,1283.0,98.0,20.3
35,Ohio,18.0,1099.0,100.0,20.3
36,Oklahoma,8.0,1062.0,100.0,19.3
37,Oregon,48.0,1117.0,42.0,21.3
38,Pennsylvania,70.0,1086.0,20.0,23.5
39,Rhode Island,97.0,1018.0,15.0,24.2
40,South Carolina,55.0,1070.0,100.0,18.3
41,South Dakota,3.0,1240.0,77.0,21.9
42,Tennessee,6.0,1231.0,100.0,19.6
43,Texas,66.0,1032.0,45.0,20.7
44,Utah,4.0,1010.0,100.0,20.4
45,Vermont,64.0,1120.0,24.0,24.1
46,Virginia,68.0,1117.0,24.0,23.9
47,Washington,69.0,1081.0,24.0,22.2
48,West Virginia,28.0,999.0,65.0,20.3
49,Wisconsin,3.0,1294.0,100.0,20.5
50,Wyoming,3.0,1257.0,100.0,20.0
